genome,metabolite,methanogen,weight_genome_metab,weight_metab_methanogen,sign_genome_metab,sign_metab_methanogen,FeatureID,Feature,Final_name,InChIKey,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,Kingdom,Superclass,Class,Subclass,Parent.Level.1,Parent.Level.2,Parent.Level.3,Parent.Level.4,Parent.Level.5,Annotation_Confidence,Annotation_Confidence_sublevel
SPRUCE 2148,RP_7.195_166.08615,SPRUCE 556,-8.837038242930986e-4,0.03274926817597222,negative,positive,Feature0519,RP_7.195_166.08615,D-Phenylalanine,COLNVLDHVKWLRT-MRVPVSSYSA-N,cpd:C02265,D-Phenylalanine;D-alpha-Amino-beta-phenylpropionic acid,C9H11NO2,Phenylalanine metabolism;D-Amino acid metabolism;Metabolic pathways;Taste transduction,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Phenylalanine and derivatives,,,L1,L1
SPRUCE 2159,RP_9.29_291.0861,SPRUCE 510,0.020232705270047387,-0.00811963791283148,positive,negative,Feature2749,RP_9.29_291.0861,(+)-Catechin,PFTAWBLQPZVEMU-DZGCQCFKSA-N,NA,NA,NA,NA,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,,,,L1,L1
SPRUCE 2042,RP_6.946_232.15416,SPRUCE 2026,0.12002145992339316,-0.0623201286852165,positive,negative,Feature1639,RP_6.946_232.15416,Butyryl-L-carnitine,QWYFHHGCZUCMBN-SECBINFHSA-N,NA,NA,NA,NA,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,,,,,L3,L2.2
SPRUCE 2042,RP_6.946_232.15416,SPRUCE 2021,0.12002145992339316,-0.32253151992363815,positive,negative,Feature1639,RP_6.946_232.15416,Butyryl-L-carnitine,QWYFHHGCZUCMBN-SECBINFHSA-N,NA,NA,NA,NA,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,,,,,L3,L2.2
SPRUCE 2057,RP_1.33_159.05116,SPRUCE 2026,0.006109590870633834,-0.029926050187430105,positive,negative,Feature0419,RP_1.33_159.05116,Allantoin,POJWUDADGALRAB-UHFFFAOYSA-N,cpd:C01551,Allantoin;5-Ureidohydantoin;Glyoxyldiureide,C4H6N4O3,NA,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Imidazoles,,,,,L1,L1
SPRUCE 190,RP_12.265_363.10731,SPRUCE 2021,-0.010042115857838051,-0.008826131727693476,negative,negative,Feature4120,RP_12.265_363.10731,Decarboxyhypothamnolic acid,WSTILCLQPLCYEH-UHFFFAOYSA-N,NA,NA,NA,NA,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,,,,,L3,L2.2
SPRUCE 190,RP_9.29_291.0861,SPRUCE 510,0.013624667443015655,-0.00811963791283148,positive,negative,Feature2749,RP_9.29_291.0861,(+)-Catechin,PFTAWBLQPZVEMU-DZGCQCFKSA-N,NA,NA,NA,NA,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,,,,L1,L1
SPRUCE 190,RP_1.422_246.06062,SPRUCE 2026,0.09642640591329771,-0.06419401737208523,positive,negative,Feature1878,RP_1.422_246.06062,Oxazinomycin,REFHNSOTFKKRAI-GBNDHIKLSA-N,NA,NA,NA,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,C-glycosyl compounds,,,,L3,L2.3
SPRUCE 190,RP_2.966_204.0865,SPRUCE 556,-0.03527249349852142,-0.024399349008995905,negative,negative,Feature1102,RP_2.966_204.0865,N2-Acetyl-L-aminoadipate,FTTGAAZKBNZDCZ-LURJTMIESA-N,cpd:C12986,N2-Acetyl-L-aminoadipate,C8H13NO5,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives,N-acyl-alpha amino acids,N-acyl-L-alpha-amino acids,L3,L2.2
SPRUCE 2183,RP_1.475_522.20255,SPRUCE 2021,0.05966566308005937,-0.039050660372830934,positive,negative,Feature5029,RP_1.475_522.20255,Maltotriose,"FYGDTMLNYKFZSV-DZOUCCHMSA-NFYGDTMLNYKFZSV-PXXRMHSHSA-N
FYGDTMLNYKFZSV-UHFFFAOYSA-N
FYGDTMLNYKFZSV-GJSXVTDISA-N
FYGDTMLNYKFZSV-MUUUSETQSA-N
",cpd:C01835,Maltotriose;Amylotriose,C18H32O16,ABC transporters;Carbohydrate digestion and absorption,NA,NA,NA,NA,NA,NA,NA,NA,NA,L1,L1
SPRUCE 2191,RP_19.948_313.10687,SPRUCE 2026,0.024685522179610456,-0.004079917549709381,positive,negative,Feature3215,RP_19.948_313.10687,Albiflorin-3,DBPWCIPDCMVUFT-UHFFFAOYSA-N ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L2,L2
SPRUCE 397,RP_1.475_522.20255,SPRUCE 2021,0.007035919220973769,-0.039050660372830934,positive,negative,Feature5029,RP_1.475_522.20255,Maltotriose,"FYGDTMLNYKFZSV-DZOUCCHMSA-NFYGDTMLNYKFZSV-PXXRMHSHSA-N
FYGDTMLNYKFZSV-UHFFFAOYSA-N
FYGDTMLNYKFZSV-GJSXVTDISA-N
FYGDTMLNYKFZSV-MUUUSETQSA-N
",cpd:C01835,Maltotriose;Amylotriose,C18H32O16,ABC transporters;Carbohydrate digestion and absorption,NA,NA,NA,NA,NA,NA,NA,NA,NA,L1,L1
SPRUCE 397,RP_1.632_360.14986,SPRUCE 2026,0.009668874994837668,-0.020111343475153847,positive,negative,Feature3816,RP_1.632_360.14986,D-(+)-Turanose,"SEWFWJUQVJHATO-PUVWEJBASA-NSEWFWJUQVJHATO-KQTFWTRUSA-N
SEWFWJUQVJHATO-UHFFFAOYSA-N
SEWFWJUQVJHATO-UGDNZRGBSA-N
SEWFWJUQVJHATO-YXSCGFAXSA-N
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L1,L1
SPRUCE 397,RP_1.422_246.06062,SPRUCE 2026,1.7065686243461498e-5,-0.06419401737208523,positive,negative,Feature1878,RP_1.422_246.06062,Oxazinomycin,REFHNSOTFKKRAI-GBNDHIKLSA-N,NA,NA,NA,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,C-glycosyl compounds,,,,L3,L2.3
SPRUCE 87,RP_1.475_522.20255,SPRUCE 2021,0.036632105067191716,-0.039050660372830934,positive,negative,Feature5029,RP_1.475_522.20255,Maltotriose,"FYGDTMLNYKFZSV-DZOUCCHMSA-NFYGDTMLNYKFZSV-PXXRMHSHSA-N
FYGDTMLNYKFZSV-UHFFFAOYSA-N
FYGDTMLNYKFZSV-GJSXVTDISA-N
FYGDTMLNYKFZSV-MUUUSETQSA-N
",cpd:C01835,Maltotriose;Amylotriose,C18H32O16,ABC transporters;Carbohydrate digestion and absorption,NA,NA,NA,NA,NA,NA,NA,NA,NA,L1,L1
SPRUCE 87,RP_19.236_441.33598,SPRUCE 2021,0.0030325811428924543,0.016101459213036986,positive,positive,Feature4633,RP_19.236_441.33598,Pfaffic acid,AXDBORJNOUXIBC-FZVIGMKHSA-N,cpd:C08965,Pfaffic acid,C29H44O3,NA,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Triterpenoids,,,,,L3,L2.2
SPRUCE 87,RP_1.475_287.12348,SPRUCE 2021,0.02192917971599179,0.026175906233586104,positive,positive,Feature2657,RP_1.475_287.12348,"N,N'-bis[(S)-1-methoxycarbonylethyl]fumaric diamide",NZYZLYFPFACZFH-JBGJSGBSSA-N,NA,NA,NA,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives,,,L3,L2.3
