SPRUCE_ID,anoxic,oxic,both,Specialist_phenol_decomposition
SPRUCE 2243,8,34,NA,Oxic_phenol_decomposition
SPRUCE 2244,1,2,NA,Oxic_phenol_decomposition
SPRUCE 2245,5,13,NA,Oxic_phenol_decomposition
SPRUCE 2246,7,11,NA,Oxic_phenol_decomposition
SPRUCE 2247,6,10,NA,Oxic_phenol_decomposition
SPRUCE 2253,6,10,NA,Oxic_phenol_decomposition
SPRUCE 2255,9,17,1,Oxic_phenol_decomposition
SPRUCE 2257,11,25,1,Oxic_phenol_decomposition
SPRUCE 2261,14,25,2,Oxic_phenol_decomposition
SPRUCE 2262,4,6,NA,Oxic_phenol_decomposition
SPRUCE 2264,8,11,NA,Ambivalent_phenol_decomposition
SPRUCE 2267,7,16,NA,Oxic_phenol_decomposition
SPRUCE 2268,7,14,1,Oxic_phenol_decomposition
SPRUCE 2269,4,24,NA,Oxic_phenol_decomposition
SPRUCE 2270,6,9,NA,Oxic_phenol_decomposition
SPRUCE 2272,9,11,1,Ambivalent_phenol_decomposition
SPRUCE 2278,9,17,1,Oxic_phenol_decomposition
SPRUCE 2282,3,8,NA,Oxic_phenol_decomposition
SPRUCE 2283,7,21,NA,Oxic_phenol_decomposition
SPRUCE 2285,5,16,1,Oxic_phenol_decomposition
SPRUCE 2286,7,20,NA,Oxic_phenol_decomposition
SPRUCE 2287,4,7,NA,Oxic_phenol_decomposition
SPRUCE 2290,4,8,2,Oxic_phenol_decomposition
SPRUCE 2291,10,46,1,Oxic_phenol_decomposition
SPRUCE 2292,6,9,NA,Oxic_phenol_decomposition
SPRUCE 2293,5,8,NA,Oxic_phenol_decomposition
SPRUCE 2294,7,29,1,Oxic_phenol_decomposition
SPRUCE 2296,10,15,NA,Oxic_phenol_decomposition
SPRUCE 2297,5,9,NA,Oxic_phenol_decomposition
SPRUCE 2298,8,28,2,Oxic_phenol_decomposition
SPRUCE 2299,4,8,1,Oxic_phenol_decomposition
SPRUCE 2300,6,16,NA,Oxic_phenol_decomposition
SPRUCE 2301,8,13,NA,Oxic_phenol_decomposition
SPRUCE 2305,4,7,NA,Oxic_phenol_decomposition
SPRUCE 2307,2,2,NA,Ambivalent_phenol_decomposition
SPRUCE 2308,3,13,NA,Oxic_phenol_decomposition
SPRUCE 2309,8,14,NA,Oxic_phenol_decomposition
SPRUCE 2311,2,3,NA,Oxic_phenol_decomposition
SPRUCE 2313,2,3,NA,Oxic_phenol_decomposition
SPRUCE 2314,10,12,NA,Ambivalent_phenol_decomposition
SPRUCE 2315,7,13,NA,Oxic_phenol_decomposition
SPRUCE 2322,8,15,NA,Oxic_phenol_decomposition
SPRUCE 2323,10,15,1,Oxic_phenol_decomposition
SPRUCE 2327,5,5,NA,Ambivalent_phenol_decomposition
SPRUCE 2328,6,2,NA,Anoxic_phenol_decomposition
SPRUCE 2330,6,3,NA,Anoxic_phenol_decomposition
SPRUCE 2331,5,5,NA,Ambivalent_phenol_decomposition
SPRUCE 2332,8,18,NA,Oxic_phenol_decomposition
SPRUCE 2334,18,18,1,Ambivalent_phenol_decomposition
SPRUCE 2336,8,29,NA,Oxic_phenol_decomposition
SPRUCE 2337,10,35,1,Oxic_phenol_decomposition
SPRUCE 2339,4,8,NA,Oxic_phenol_decomposition
SPRUCE 234,10,24,NA,Oxic_phenol_decomposition
SPRUCE 2340,6,13,NA,Oxic_phenol_decomposition
SPRUCE 2341,13,31,1,Oxic_phenol_decomposition
SPRUCE 2342,10,7,NA,Ambivalent_phenol_decomposition
SPRUCE 2343,2,7,NA,Oxic_phenol_decomposition
SPRUCE 2345,10,14,NA,Ambivalent_phenol_decomposition
SPRUCE 2346,5,15,NA,Oxic_phenol_decomposition
SPRUCE 2349,5,11,NA,Oxic_phenol_decomposition
SPRUCE 2351,1,2,NA,Oxic_phenol_decomposition
SPRUCE 2352,3,4,NA,Ambivalent_phenol_decomposition
SPRUCE 2353,10,13,NA,Ambivalent_phenol_decomposition
SPRUCE 2354,2,8,NA,Oxic_phenol_decomposition
SPRUCE 242,3,3,NA,Ambivalent_phenol_decomposition
SPRUCE 259,2,6,NA,Oxic_phenol_decomposition
SPRUCE 261,10,45,1,Oxic_phenol_decomposition
SPRUCE 268,10,22,1,Oxic_phenol_decomposition
SPRUCE 269,8,19,1,Oxic_phenol_decomposition
SPRUCE 273,13,64,3,Oxic_phenol_decomposition
SPRUCE 275,13,22,1,Oxic_phenol_decomposition
SPRUCE 294,11,40,NA,Oxic_phenol_decomposition
SPRUCE 296,6,14,NA,Oxic_phenol_decomposition
SPRUCE 298,8,12,NA,Oxic_phenol_decomposition
SPRUCE 303,1,8,NA,Oxic_phenol_decomposition
SPRUCE 305,20,15,NA,Ambivalent_phenol_decomposition
SPRUCE 318,6,7,NA,Ambivalent_phenol_decomposition
SPRUCE 32,7,8,NA,Ambivalent_phenol_decomposition
SPRUCE 320,10,22,1,Oxic_phenol_decomposition
SPRUCE 330,10,6,NA,Anoxic_phenol_decomposition
SPRUCE 335,26,34,NA,Ambivalent_phenol_decomposition
SPRUCE 337,10,18,NA,Oxic_phenol_decomposition
SPRUCE 338,8,6,NA,Ambivalent_phenol_decomposition
SPRUCE 340,7,8,NA,Ambivalent_phenol_decomposition
SPRUCE 347,15,52,2,Oxic_phenol_decomposition
SPRUCE 348,1,4,NA,Oxic_phenol_decomposition
SPRUCE 356,7,21,NA,Oxic_phenol_decomposition
SPRUCE 363,11,44,2,Oxic_phenol_decomposition
SPRUCE 369,8,26,NA,Oxic_phenol_decomposition
SPRUCE 372,9,14,1,Oxic_phenol_decomposition
SPRUCE 38,5,7,NA,Ambivalent_phenol_decomposition
SPRUCE 382,7,8,NA,Ambivalent_phenol_decomposition
SPRUCE 39,5,8,NA,Oxic_phenol_decomposition
SPRUCE 391,11,14,1,Ambivalent_phenol_decomposition
SPRUCE 392,8,7,1,Ambivalent_phenol_decomposition
SPRUCE 397,10,34,3,Oxic_phenol_decomposition
SPRUCE 401,10,20,1,Oxic_phenol_decomposition
SPRUCE 404,8,9,NA,Ambivalent_phenol_decomposition
SPRUCE 415,4,12,NA,Oxic_phenol_decomposition
SPRUCE 417,12,37,1,Oxic_phenol_decomposition
SPRUCE 421,4,18,NA,Oxic_phenol_decomposition
SPRUCE 434,6,5,NA,Ambivalent_phenol_decomposition
SPRUCE 436,11,41,2,Oxic_phenol_decomposition
SPRUCE 437,9,10,NA,Ambivalent_phenol_decomposition
SPRUCE 439,7,34,1,Oxic_phenol_decomposition
SPRUCE 448,6,7,NA,Ambivalent_phenol_decomposition
SPRUCE 450,6,4,NA,Anoxic_phenol_decomposition
SPRUCE 451,6,12,NA,Oxic_phenol_decomposition
SPRUCE 456,6,5,NA,Ambivalent_phenol_decomposition
SPRUCE 462,8,7,NA,Ambivalent_phenol_decomposition
