connected_sensitive_tax,connected_methanogen,Metabolite_feature_ID,Acquisition_mode,RT_min,precursor_mz,Metabolite_name,Figure_3_label,Annotation_Confidence,Name_n_features,Name_status,Kingdom,Superclass,Class.metab,Subclass,Parent.Level.1,Parent.Level.2,Parent.Level.3,Parent.Level.4,Parent.Level.5,Classification_network,edge_genome_metab,weight_genome_metab,recovery_genome_metab,edge_metab_methanogen,weight_metab_methanogen,recovery_metab_methanogen
SPRUCE 275: Proteobacteria,SPRUCE 2026,RP_1.632_360.14986,RP,1.632,360.14986,D-(+)-Turanose,D-(+)-Turanose [L1],L1,1,name unique to this feature,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other organic compounds,positive,0.0268,0.46,negative,-0.0201,0.8
SPRUCE 275: Proteobacteria,SPRUCE 510,RP_5.641_174.12357,RP,5.641,174.12357,Indospicine,"Amino acids, peptides, and analogues (putative) | RP_5.641_174.12357 [L3]",L3,1,name unique to this feature,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids,L-alpha-amino acids,NA,Amino acids and derivatives,positive,0.0139,0.32,negative,-0.049,0.74
SPRUCE 275: Proteobacteria,SPRUCE 556,RP_11.741_249.11198,RP,11.741,249.11198,"5-Hydroxy-4-methoxy-6-(2-phenylethyl)-5,6-dihydro-2H-pyran-2-one (stereochemistry unresolved)",Kavalactone | (stereochemistry unresolved) [L2],L2,5,name shared with other features,Organic compounds,Phenylpropanoids and polyketides,Kavalactones,NA,Kavalactones,NA,NA,NA,NA,Phenolic and polyphenolic compounds,positive,0.019,0.72,negative,-0.0114,0.28
SPRUCE 356: Actinobacteriota,SPRUCE 2026,RP_10.233_344.17023,RP,10.233,344.17023,Raspberry ketone glucoside,Raspberry ketone glucoside [L1],L1,1,name unique to this feature,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA,NA,NA,Other organic compounds,positive,0.0073,0.5,negative,-0.0485,0.76
SPRUCE 397: Proteobacteria,SPRUCE 2021,RP_1.475_522.20255,RP,1.475,522.20255,Maltotriose,Maltotriose [L1],L1,2,name shared with other features,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other organic compounds,positive,0.007,0.12,negative,-0.0391,0.4
SPRUCE 397: Proteobacteria,SPRUCE 2026,RP_1.632_360.14986,RP,1.632,360.14986,D-(+)-Turanose,D-(+)-Turanose [L1],L1,1,name unique to this feature,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other organic compounds,positive,0.0097,0.7,negative,-0.0201,0.8
SPRUCE 397: Proteobacteria,SPRUCE 2026,RP_1.422_246.06062,RP,1.422,246.06062,Oxazinomycin,Carbohydrates and carbohydrate conjugates (putative) | RP_1.422_246.06062 [L3],L3,1,name unique to this feature,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,C-glycosyl compounds,NA,NA,NA,Other organic compounds,positive,0,0.02,negative,-0.0642,0.76
SPRUCE 675: Actinobacteriota,SPRUCE 2021,RP_20.132_283.20546,RP,20.132,283.20546,cis-Dehydroretinal,unclassified feature | RP_20.132_283.20546 [L3],L3,2,name shared with other features,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other organic compounds,positive,6e-4,0.34,negative,-0.0931,0.72
SPRUCE 675: Actinobacteriota,SPRUCE 556,RP_9.38_111.08032,RP,9.38,111.08032,"trans,trans-2,4-Heptadienal","trans,trans-2,4-Heptadienal [L2]",L2,1,name unique to this feature,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes,Medium-chain aldehydes,NA,NA,NA,Other organic compounds,positive,0.0284,0.72,positive,0.0145,0.08
SPRUCE 689: Acidobacteriota,SPRUCE 2021,RP_17.086_297.14839,RP,17.086,297.14839,"1-(4-Hydroxyphenyl)-7-phenylhepta-3,5-dione",Linear diarylheptanoids (putative) | RP_17.086_297.14839 [L3],L3,1,name unique to this feature,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids,Linear diarylheptanoids,Linear diarylheptanoids,NA,NA,NA,NA,Phenolic and polyphenolic compounds,negative,-6e-4,0.08,positive,0.0109,0.48
SPRUCE 689: Acidobacteriota,SPRUCE 2021,RP_1.486_96.0443,RP,1.486,96.0443,2-Hydroxypyridine,Hydropyridines (putative) | RP_1.486_96.0443 [L3],L3,1,name unique to this feature,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Hydropyridines,Pyridinones,NA,NA,NA,NA,Amino acids and derivatives,positive,7e-4,0,positive,0.0127,0.5
SPRUCE 689: Acidobacteriota,SPRUCE 510,RP_1.94_174.08719,RP,1.94,174.08719,2-oxoarginine,Short-chain keto acids and derivatives (putative) | RP_1.94_174.08719 [L3],L3,1,name unique to this feature,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,Short-chain keto acids and derivatives,NA,NA,NA,NA,Amino acids and derivatives,positive,0.0512,0.78,negative,-0.0126,0.3
SPRUCE 689: Acidobacteriota,SPRUCE 556,RP_20.847_292.26333,RP,20.847,292.26333,17-Amino-5alpha-androstan-11-ol,Hydroxysteroids (putative) | RP_20.847_292.26333 [L3],L3,1,name unique to this feature,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,11-hydroxysteroids,NA,NA,NA,NA,Lipids and derivatives,negative,-0.0081,0.3,negative,-0.0022,0.62
SPRUCE 87: Proteobacteria,SPRUCE 2021,RP_1.475_522.20255,RP,1.475,522.20255,Maltotriose,Maltotriose [L1],L1,2,name shared with other features,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other organic compounds,positive,0.0366,0.64,negative,-0.0391,0.4
SPRUCE 87: Proteobacteria,SPRUCE 2021,RP_1.475_287.12348,RP,1.475,287.12348,"N,N'-bis[(S)-1-methoxycarbonylethyl]fumaric diamide","Amino acids, peptides, and analogues (putative) | RP_1.475_287.12348 [L3]",L3,1,name unique to this feature,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives,NA,NA,Amino acids and derivatives,positive,0.0219,0.64,positive,0.0262,0.72
SPRUCE 87: Proteobacteria,SPRUCE 2021,RP_19.236_441.33598,RP,19.236,441.33598,Pfaffic acid,Triterpenoids (putative) | RP_19.236_441.33598 [L3],L3,3,name shared with other features,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Triterpenoids,NA,NA,NA,NA,Lipids and derivatives,positive,0.003,0,positive,0.0161,0.7
