compound_set,grouping,predictor,n_features,n_increase,n_decrease,median_coef,median_coef_background,p_KS,q_KS,p_wilcox,q_wilcox,p_sign,q_sign
Indoles and derivatives,Class,Temp_avg_top,24,17,7,0.12652599644768547,0.03907340028939381,0.21799663210738174,0.4632428432281862,0.018643213928509317,0.09055275336704524,0.2162268025584465,0.5098473275533084
Flavonoids,Class,Temp_avg_top,38,15,23,-0.08719706997408722,0.041418107744449636,0.402423592979971,0.5508998803389166,0.023805333410867532,0.10117266699618702,0.032431453461699705,0.13783367721222375
Pyrimidine nucleosides,Class,Temp_avg_top,9,2,7,-0.19619491214390186,0.040927421882284015,0.12010689246557638,0.3097548155370558,0.030776555679294604,0.11626698812177962,0.0446647229046816,0.16873339763990824
Naphthofurans,Class,Temp_avg_top,21,18,3,0.10289033090192663,0.03907139589554531,0.04012190897468759,0.15505779577670412,0.04407987247380163,0.14987156641092553,0.007046161255430887,0.05989237067116254
Cinnamaldehydes,Class,Temp_avg_top,11,10,1,0.09410432474281072,0.039177627275305535,0.10783998407484885,0.3055466215454051,0.09513096365001217,0.2940411603727649,0.029180274925213856,0.13783367721222375
Steroids and steroid derivatives,Class,Temp_avg_top,71,35,36,-0.007415089708511911,0.04120599054186201,0.2744043613828928,0.4910393835272819,0.11953293709998884,0.3386766551166351,0.18866931773621481,0.5098473275533084
Organooxygen compounds,Class,Temp_avg_top,116,62,54,0.02271686510695339,0.040993873339274386,0.27377344617941246,0.4910393835272819,0.17357464839213768,0.41380440793362455,0.45367762262753675,0.6427099653890104
"Linear 1,3-diarylpropanoids",Class,Temp_avg_top,11,8,3,0.10741773892536738,0.03985773837725348,0.12754610051525828,0.3097548155370558,0.17450068855967316,0.41380440793362455,0.36926726296605983,0.627460601688138
Diazines,Class,Temp_avg_top,11,4,7,-0.08592687557794253,0.040974690398846304,0.31854744553474523,0.5157434832467304,0.1922658330233751,0.41380440793362455,0.22493264450881256,0.5098473275533084
Cinnamic acids and derivatives,Class,Temp_avg_top,17,11,6,0.07987478103056389,0.0395836171137032,0.5236623677300736,0.5743393710587903,0.19473148608641155,0.41380440793362455,0.6274689006304079,0.7484556739879941
