Sample,Name,Plot,Depth,Warming,Warming_simple,CO2,Year,AvgTemp10cm,AvgTemp20cm,AvgTemp30cm,AvgTemp40cm,AvgTemp50cm,AvgTemp100cm,AvgTemp200cm,AvgWT_Elevation,AvgWTE_normalized,AvgMoisture0cm,AvgMoisture20cm,Warming_Treatment,CO2_Treatment,Warming_Treatment.ord,WT_drawdown,Temp_avg_top,SoilWater_avg_top,WT_drawdown_cm,NOSC
P16_2021,P16-2_2021,16,10-20 cm,6.75 ºC,6.75,elevated,2021,17.9959749070587,16.5598974568133,15.7611793873872,15.1288419151403,14.4410664859063,12.4707450714568,10.6168220075693,412.308484143579,-0.285975730566667,0.195451171411178,0.769377452368765,+ 6.75 ºC,Elevated,6.75 ºC,0.285975730566667,26.275923635465347,0.5801398975955605,28.597573056666697,-0.04874975783016002
P17_2021,P17-2_2021,17,10-20 cm,9 ºC,9,ambient,2021,18.6374463276836,17.4942372881356,16.7686327683616,16.2373672316384,15.7526892655367,14.2005367231638,12.6348813559322,412.185593971144,-0.350924654883333,0.31813257639948,0.746379144777721,+ 9 ºC,Ambient,9 ºC,0.350924654883333,27.3845649717514,0.6913221487883405,35.0924654883333,-0.04862212364160429
P19_2021,P19-2_2021,19,10-20 cm,0 ºC,0,elevated,2021,13.9003840506043,12.5091776798825,11.3854907940811,10.2800971422117,9.23720772619451,6.43519710832486,5.1004913588614,412.28572879661,-0.149471744373984,0.536680393968751,0.883406123025921,+ 0 ºC,Elevated,0 ºC,0.149471744373984,20.15497289054555,0.9783834554817116,14.9471744373984,-0.04752042871918907
P20_2021,P20-2_2021,20,10-20 cm,2.25 ºC,2.25,ambient,2021,15.1700767841012,13.1706639566396,11.7797707768744,10.7846770551039,9.94683265582656,7.6559620596206,6.33319218608853,412.249005137335,-0.18773754307377,0.540023035230352,0.799750395212286,+ 2.25 ºC,Ambient,2.25 ºC,0.18773754307377,21.755408762421,0.939898232836495,18.773754307377,-0.04940737761906955
P4_2022,P4-2_2022,4,10-20 cm,4.5 ºC,4.5,elevated,2022,15.0824746874732,13.982928567102,12.9558464327391,12.0081850948783,11.2633478368421,9.05303413774759,7.88756714244482,412.36880465274203,0.0478333619186992,0.605195138647425,0.882053849496321,+ 4.5 ºC,Elevated,4.5 ºC,-0.0478333619186992,22.0739389710242,1.0462220633955854,-4.78333619186992,-0.04895292267007405
P6_2022,P6-2_2022,6,10-20 cm,0 ºC,0,ambient,2022,9.53766785287088,7.26248335829403,5.82055268769229,4.81866387856261,4.18719781671378,3.35129142719149,3.21532588434566,412.32978389888,-0.0171317343658537,0.578792180121027,0.91364824505712,+ 0 ºC,Ambient,0 ºC,0.0171317343658537,13.168909532017896,1.0356163026495868,1.71317343658537,-0.04843635253483443
P8_2022,P8-2_2022,8,10-20 cm,6.75 ºC,6.75,ambient,2022,16.1520056470788,15.1625707223732,14.021704501019,13.9348382338089,13.0228100490263,11.315170848562,10.12515505899,412.256399796196,0.0448960087317073,0.454217711922554,0.909781902338089,+ 6.75 ºC,Ambient,6.75 ºC,-0.0448960087317073,23.733291008265397,0.9091086630915984,-4.48960087317073,-0.04781052904761673
P10_2022,P10-2_2022,10,10-20 cm,9 ºC,9,elevated,2022,17.5166994519285,16.4952163326547,15.7697708613279,15.1563277206198,14.7527931590883,13.3132131329035,12.3080433876258,412.410549091835,-0.0907134220406504,0.444053273866079,0.872676418549938,+ 9 ºC,Elevated,9 ºC,0.0907134220406504,25.76430761825585,0.880391483141048,9.07134220406504,-0.04924621786734508
P11_2022,P11-2_2022,11,10-20 cm,2.25 ºC,2.25,elevated,2022,12.6191875877009,11.1186474517759,9.98143228862325,9.12513657306831,8.33447137396299,6.30009452443738,5.85192203245426,412.305154604145,-0.0029935203902439,0.648505665551215,0.894966990651718,+ 2.25 ºC,Elevated,2.25 ºC,0.0029935203902439,18.17851131358885,1.095989160877074,0.29935203902439,-0.04815374289261184
P13_2022,P13-2_2022,13,10-20 cm,4.5 ºC,4.5,ambient,2022,13.8905711475857,12.5821199633647,11.6158401455491,10.8177319595238,10.2194612936489,8.61688054100215,7.88767575353467,412.407357513135,-0.0125058288872881,0.530792935482411,0.937055808811877,+ 4.5 ºC,Ambient,4.5 ºC,0.0125058288872881,20.181631129268048,0.9993208398883496,1.2505828887288102,-0.04808779346942399
P16_2022,P16-2_2022,16,10-20 cm,6.75 ºC,6.75,elevated,2022,16.4308571793039,15.1297444542162,14.3792181367289,13.7616554682513,13.072859847708,11.1859919827957,10.1832951631579,412.568555391408,0.0347599380325203,0.504291754731183,0.865120877362762,+ 6.75 ºC,Elevated,6.75 ºC,-0.0347599380325203,23.995729406412,0.936852193412564,-3.47599380325203,-0.04863000696098831
P17_2022,P17-2_2022,17,10-20 cm,9 ºC,9,ambient,2022,16.7153345677419,15.5971498567063,14.8774392367289,14.3385519902094,13.8598926833616,12.7046050290323,12.2091323463497,412.459537928693,-0.00530931957723577,0.377512554168081,0.88326874959253,+ 9 ºC,Ambient,9 ºC,0.00530931957723577,24.51390949609505,0.819146928964346,0.530931957723577,-0.04854423774903418
P19_2022,P19-2_2022,19,10-20 cm,0 ºC,0,elevated,2022,12.1952321469857,10.6637138638466,9.44264252702117,8.30434598493122,7.30363808130554,5.16880810365716,4.59337983220109,412.326894565217,0.0111166836747967,0.547944884302582,0.818025919223969,+ 0 ºC,Elevated,0 ºC,-0.0111166836747967,17.527089078909,0.9569578439145664,-1.11166836747967,-0.04864354953418654
P20_2022,P20-2_2022,20,10-20 cm,2.25 ºC,2.25,ambient,2022,13.4881982578824,11.5254972448662,10.1558549935416,9.13836715575045,8.31077760962407,6.51441710285132,5.85631737655578,412.379199592599,-0.0152573456422764,0.579840872001584,0.876119394359584,+ 2.25 ºC,Ambient,2.25 ºC,0.0152573456422764,19.2509468803155,1.0179005691813758,1.52573456422764,-0.04953270339597602
