SPRUCE_ID,metadata,value,coef,stderr,pval,name,qval,N,N.not.zero
SPRUCE 173,WT_drawdown_cm,WT_drawdown_cm,-1.0626768051288875,0.5911710447930321,0.08386833572764388,WT_drawdown_cm,0.5055754750629792,28,15
SPRUCE 486,WT_drawdown_cm,WT_drawdown_cm,-1.280635571276042,0.7205359596173325,0.08721415696034152,WT_drawdown_cm,0.5055754750629792,28,17
SPRUCE 630,WT_drawdown_cm,WT_drawdown_cm,-0.3860141381257774,0.21476007057857965,0.08389415427366553,WT_drawdown_cm,0.5055754750629792,28,5
SPRUCE 2233,WT_drawdown_cm,WT_drawdown_cm,0.2053412811084645,0.11612355227247183,0.08874441562919075,WT_drawdown_cm,0.5055754750629792,28,2
SPRUCE 298,WT_drawdown_cm,WT_drawdown_cm,0.31344918838634334,0.17058786095068532,0.07759655909902946,WT_drawdown_cm,0.5055754750629792,28,3
SPRUCE 2159,WT_drawdown_cm,WT_drawdown_cm,0.3544779249099433,0.1947774705735747,0.08030502612238416,WT_drawdown_cm,0.5055754750629792,28,2
SPRUCE 109,WT_drawdown_cm,WT_drawdown_cm,0.6238315228329089,0.34107795383926476,0.07889277709328203,WT_drawdown_cm,0.5055754750629792,28,17
SPRUCE 2136,WT_drawdown_cm,WT_drawdown_cm,-0.8401624642125048,0.4505862620034208,0.0735646713004746,WT_drawdown_cm,0.5055754750629792,28,12
SPRUCE 404,WT_drawdown_cm,WT_drawdown_cm,-1.446107253893675,0.8052078898766416,0.08413469648234459,WT_drawdown_cm,0.5055754750629792,28,8
SPRUCE 2157,WT_drawdown_cm,WT_drawdown_cm,0.22797957437123373,0.12932010226509902,0.08966810312437744,WT_drawdown_cm,0.5055754750629792,28,2
SPRUCE 337,WT_drawdown_cm,WT_drawdown_cm,0.788959828723739,0.4551810859106034,0.09489068588594718,WT_drawdown_cm,0.5145091133454932,28,23
SPRUCE 2024,WT_drawdown_cm,WT_drawdown_cm,-0.7272500090219511,0.41990660793665824,0.09513564737331762,WT_drawdown_cm,0.5145091133454932,28,12
SPRUCE 39,WT_drawdown_cm,WT_drawdown_cm,-0.6053824317059059,0.3588869848392156,0.10359943921374765,WT_drawdown_cm,0.5490770278328625,28,7
SPRUCE 179,WT_drawdown_cm,WT_drawdown_cm,-1.0682364420593051,0.6465921746847847,0.11054136266545,WT_drawdown_cm,0.5743815903204755,28,13
SPRUCE 437,WT_drawdown_cm,WT_drawdown_cm,0.5122464964244515,0.3145776110661737,0.11550678902491132,WT_drawdown_cm,0.5886403671461826,28,8
SPRUCE 340,WT_drawdown_cm,WT_drawdown_cm,-0.6636758440597916,0.41866934841211906,0.12500931725830222,WT_drawdown_cm,0.6250465862915111,28,9
SPRUCE 2149,WT_drawdown_cm,WT_drawdown_cm,0.051579573518539944,0.0356553121028437,0.1599534791459487,WT_drawdown_cm,0.6326518205026329,28,1
SPRUCE 583,WT_drawdown_cm,WT_drawdown_cm,-0.22170976873577225,0.1426866679069155,0.13231602957065483,WT_drawdown_cm,0.6326518205026329,28,4
SPRUCE 620,WT_drawdown_cm,WT_drawdown_cm,-0.7691348753623584,0.49956009321240435,0.1357352475583023,WT_drawdown_cm,0.6326518205026329,28,15
SPRUCE 571,WT_drawdown_cm,WT_drawdown_cm,-0.7447723137412939,0.5095151801031665,0.15579812213639735,WT_drawdown_cm,0.6326518205026329,28,15
SPRUCE 2150,WT_drawdown_cm,WT_drawdown_cm,0.05157957351854582,0.03565531210284365,0.15995347914590238,WT_drawdown_cm,0.6326518205026329,28,1
SPRUCE 205,WT_drawdown_cm,WT_drawdown_cm,0.4633184158189824,0.309952353342655,0.14700452775324024,WT_drawdown_cm,0.6326518205026329,28,7
SPRUCE 2227,WT_drawdown_cm,WT_drawdown_cm,0.1328878641700952,0.0885088753268712,0.14529841880783503,WT_drawdown_cm,0.6326518205026329,28,2
SPRUCE 2121,WT_drawdown_cm,WT_drawdown_cm,-0.45014796092906756,0.30006108300070644,0.14561234656224586,WT_drawdown_cm,0.6326518205026329,28,7
SPRUCE 2178,WT_drawdown_cm,WT_drawdown_cm,-0.6352432760920614,0.41499302547976163,0.1379131375548662,WT_drawdown_cm,0.6326518205026329,28,8
SPRUCE 2177,WT_drawdown_cm,WT_drawdown_cm,-0.6135798064082618,0.410453435145931,0.1469843857147853,WT_drawdown_cm,0.6326518205026329,28,5
SPRUCE 2059,WT_drawdown_cm,WT_drawdown_cm,0.23822783427530533,0.16075345401920077,0.15037439417795534,WT_drawdown_cm,0.6326518205026329,28,3
SPRUCE 2156,WT_drawdown_cm,WT_drawdown_cm,0.05157957351854414,0.03565531210284366,0.15995347914591557,WT_drawdown_cm,0.6326518205026329,28,1
SPRUCE 2081,WT_drawdown_cm,WT_drawdown_cm,0.05157957351854582,0.035655312102843735,0.1599534791459034,WT_drawdown_cm,0.6326518205026329,28,1
SPRUCE 2161,WT_drawdown_cm,WT_drawdown_cm,0.05157957351854582,0.03565531210284365,0.15995347914590238,WT_drawdown_cm,0.6326518205026329,28,1
SPRUCE 683,WT_drawdown_cm,WT_drawdown_cm,-0.21173359365830727,0.1478180309081086,0.1639453957640168,WT_drawdown_cm,0.638904851139183,28,3
SPRUCE 643,WT_drawdown_cm,WT_drawdown_cm,-0.7062916090643288,0.497789380884989,0.16781818154402164,WT_drawdown_cm,0.6445191030313875,28,8
SPRUCE 2220,WT_drawdown_cm,WT_drawdown_cm,-0.16874417025564048,0.12934386738483622,0.2034537746476133,WT_drawdown_cm,0.6678370873921305,28,4
SPRUCE 2152,WT_drawdown_cm,WT_drawdown_cm,0.22610107362000756,0.16413473087407848,0.18009072542886245,WT_drawdown_cm,0.6678370873921305,28,3
SPRUCE 2182,WT_drawdown_cm,WT_drawdown_cm,-0.5935672339661711,0.5024437033911631,0.24815302253093036,WT_drawdown_cm,0.6678370873921305,28,10
SPRUCE 372,WT_drawdown_cm,WT_drawdown_cm,1.03749503744729,0.8427523748441716,0.22931366953601873,WT_drawdown_cm,0.6678370873921305,28,8
SPRUCE 382,WT_drawdown_cm,WT_drawdown_cm,0.7205332255052674,0.6054633293585561,0.24477915349403082,WT_drawdown_cm,0.6678370873921305,28,14
SPRUCE 2272,WT_drawdown_cm,WT_drawdown_cm,0.6456038419939663,0.4768666876055621,0.1874379020590372,WT_drawdown_cm,0.6678370873921305,28,13
SPRUCE 619,WT_drawdown_cm,WT_drawdown_cm,0.2317314758215916,0.17662069419045684,0.20097689360941848,WT_drawdown_cm,0.6678370873921305,28,5
SPRUCE 2196,WT_drawdown_cm,WT_drawdown_cm,-0.19283079722927,0.14928024734543238,0.20781352533785338,WT_drawdown_cm,0.6678370873921305,28,2
